name,category,wattage,beamAngle,ipRating,description
Wall Washer,Wall Washer,20W,60°,IP65,Uniform wall illumination with minimal glare
Flood Light,Flood Light,100W,30°,IP66,High intensity area lighting for large spaces
Flexible Wall Washer,Wall Washer,15W,120°,IP67,Adaptable linear lighting for curved surfaces
Ground Burial Light,Ground Light,10W,360°,IP68,Submersible ground lighting for pathways
Weatherproof Light,Outdoor,50W,15°,IP65,Durable outdoor lighting for harsh conditions
Spotlight,Spotlight,30W,15°,IP54,Focused beam for accent lighting
Neon Flex,Neon,12W,180°,IP65,LED neon alternative for signage
Solar Road Stud,Solar,5W,360°,IP67,Self-powered road marking lights
Window Light,Window,25W,90°,IP54,Interior window accent lighting
Signage Light,Signage,40W,120°,IP65,High visibility signage illumination
Gobo Light,Gobo,60W,10°,IP54,Pattern projection for architectural effects
Emergency Light,Emergency,10W,120°,IP44,Battery backup lighting for safety
Elliptical Flood Light,Flood Light,80W,45°,IP66,Specialized beam pattern for stadiums
